Item,Cost,Product Url,Model Url,Swatch Url,Item Url,RGB
New York Jets Crew Sweater,$100,https://www.abercrombie.com/shop/us/p/new-york-jets-crew-sweater-57732363?categoryId=12202&faceout=model&seq=07,https://img.abercrombie.com/is/image/anf/KIC_120-4221-00254-304_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_120-4221-00254-304_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_120-4221-00254-304_prod1?policy=product-xsmall,[41 74 64]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=08,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4191-00379-100_prod1?policy=product-xsmall,[57 48 40]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=34,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_prod1?policy=product-xsmall,[125 103  69]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=08,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4229-00380-100_prod1?policy=product-xsmall,[101  88 102]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=08,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4130-00347-500_prod1?policy=product-xsmall,[150  69  75]
New York Jets Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=50,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4136-00428-200_prod1?policy=product-xsmall,[42 43 58]
New York Jets Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=50,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4219-00377-112_prod1?policy=product-xsmall,[77 78 76]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=34,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_prod1?policy=product-xsmall,[ 85  90 117]
New York Jets Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=50,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_prod1?policy=product-xsmall,[35 48 88]
New York Jets Graphic Crew Sweatshirt,$100,https://www.abercrombie.com/shop/us/p/carolina-panthers-graphic-crew-sweatshirt-58154819?categoryId=12202&faceout=model&seq=50,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_prod1?policy=product-xsmall,[115  63  49]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=34,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_prod1?policy=product-xsmall,[ 87  85 105]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/houston-texans-graphic-crew-sweatshirt-57520322?categoryId=12202&faceout=model&seq=08,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_prod1?policy=product-xsmall,[ 46 118 142]
New York Jets Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=34,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_prod1?policy=product-xsmall,[209 191 180]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-graphic-tee-57733678?categoryId=12202&faceout=model&seq=09,https://img.abercrombie.com/is/image/anf/KIC_123-4109-00272-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4109-00272-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4109-00272-100_prod1?policy=product-xsmall,[ 79  91 119]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=14,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_prod1?policy=product-xsmall,[71 67 85]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=14,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_prod1?policy=product-xsmall,[ 84 117 129]
